-----------------------TABLE SEPERATOR-----------------------
Cases *, Negative, Tests, Pending, Tests, Currently, Hospitalized *, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
4,328,695, 48,656,882, 3,600, 57,091, 1,355,363, 141,430, 52,985,577, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
82,366, 583,033, N/A, 1,598, 9,893, N/A, 1,094, N/A, 584, 32,510, 1,491, 665,399, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
3,350, 210,525, N/A, 44, N/A, N/A, N/A, 4, N/A, 836, 22, 213,875, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
0, 1,037, N/A, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 0, 1,037, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
165,934, 724,997, N/A, 2,564, 9,394, 814, N/A, 574, N/A, 21,626, 3,408, 890,931, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
40,181, 449,725, N/A, 501, 2,686, N/A, N/A, 110, 377, 33,188, 428, 489,906, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
466,550, 6,951,316, N/A, 8,317, N/A, 2,198, N/A, N/A, N/A, N/A, 8,518, 7,417,866, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
44,565, 455,865, N/A, 359, 6,271, N/A, N/A, N/A, N/A, 5,212, 1,668, 500,430, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
49,077, 703,611, N/A, 54, 10,712, N/A, N/A, N/A, N/A, 8,516, 4,423, 752,688, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
14,476, 160,147, N/A, 62, N/A, 14, N/A, N/A, N/A, 8,076, 580, 174,623, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
11,945, 166,077, N/A, 106, N/A, 20, N/A, 9, N/A, 9,664, 583, 178,022, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
441,977, 3,038,322, 3,017, 8,992, 25,280, N/A, N/A, N/A, N/A, N/A, 6,240, 3,480,299, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
175,052, 1,312,274, N/A, 3,157, 17,544, N/A, 3,236, N/A, N/A, N/A, 3,563, 1,487,326, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
349, 20,443, N/A, 5, N/A, 2, N/A, N/A, N/A, 291, 5, 20,792, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
1,711, 112,432, N/A, 39, 165, N/A, N/A, N/A, N/A, 1,191, 26, 114,143, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
18,694, 152,023, N/A, 209, 750, 40, 224, N/A, N/A, 5,964, 152, 170,717, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
174,973, 2,396,734, N/A, 1,383, N/A, 329, N/A, 128, N/A, N/A, 7,638, 2,571,707, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
63,678, 653,131, N/A, 907, 8,505, 304, 1,772, 69, N/A, 44,548, 2,924, 716,809, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
42,777, 414,658, N/A, 253, N/A, 75, N/A, 31, N/A, 30,623, 839, 457,435, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
26,172, 252,764, N/A, 212, 1,644, 58, 465, 24, 171, 1,108, 335, 278,936, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
28,126, 529,587, N/A, 584, 3,279, 115, 1,132, N/A, N/A, 7,470, 719, 557,713, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
111,038, 1,165,266, N/A, 1,583, N/A, N/A, N/A, 214, N/A, 61,456, 3,812, 1,276,304, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
3,838, 155,262, N/A, 12, 384, 7, N/A, 2, N/A, 3,319, 121, 159,100, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
85,524, 782,732, N/A, 544, 12,389, 150, N/A, N/A, N/A, 5,592, 3,458, 868,256, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
116,182, 1,024,934, N/A, 364, 11,855, 54, N/A, 27, N/A, 96,452, 8,551, 1,141,116, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
87,958, 1,639,924, N/A, 670, N/A, 195, N/A, 135, N/A, 57,502, 6,421, 1,727,882, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
52,281, 927,707, N/A, 294, 5,028, 138, 1,474, N/A, N/A, 45,987, 1,620, 979,988, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
54,299, 378,834, N/A, 1,184, 4,103, 288, N/A, 169, N/A, 35,071, 1,543, 433,133, 
-----------------------TABLE SEPERATOR-----------------------
Cases, Negative, Tests, Pending, Tests, Currently, Hospitalized, Cumulative, Hospitalized, Currently, In ICU, Cumulative, In ICU, Currently, On Ventilator, Cumulative, On Ventilator, Recovered, Outcomes, Deaths, Outcomes, Positive + Negative, Total Test Results, 
42,101, 610,823, N/A, 797, N/A, N/A, N/A, 112, N/A, N/A, 1,213, 652,924, 
-----------------------TABLE SEPERATOR-----------------------
